mnemonic,all_households,owned_households,percent_owned
E05013036,7124,2488,34.9
E05013037,4848,3418,70.5
E05000779,5288,4493,85
E05000780,5212,4726,90.7
E05000781,6027,4570,75.8
E05000782,6320,4388,69.4
E05000783,8679,2484,28.6
E05000784,6385,5093,79.8
E05000785,5852,4399,75.2
E05000786,5858,4613,78.7
E05000787,6642,3813,57.4
E05000788,6359,3916,61.6
E05000789,6066,4767,78.6
E05000790,4998,4212,84.3
E05000791,5944,4307,72.5
E05000792,6007,4610,76.7
E05000793,6228,4129,66.3
E05000794,5194,4527,87.2
E05000795,5305,4267,80.4
E05000796,5933,4132,69.6
E05000797,6673,4018,60.2
E05000798,6133,4104,66.9
E05000799,5541,4458,80.5
E05000800,4757,2959,62.2
E05000801,5314,2922,55
E05000802,4870,2921,60
E05000803,5373,3841,71.5
E05000804,5070,3294,65
E05000805,5114,2722,53.2
E05000806,5046,4063,80.5
E05000807,5362,3311,61.7
E05000808,4794,3275,68.3
E05000809,5537,2965,53.5
E05000810,5171,3121,60.4
E05000811,5458,3075,56.3
E05000812,6534,3916,59.9
E05000813,4773,3464,72.6
E05000814,4661,2737,58.7
E05000815,5172,3405,65.8
E05000816,6216,2113,34
E05000817,5537,3018,54.5
E05000818,4762,3399,71.4
E05000819,5607,3693,65.9
E05000820,4330,3223,74.4
E05000821,3738,2854,76.4
E05000822,5572,4094,73.5
E05000823,4202,3408,81.1
E05000824,4186,2188,52.3
E05000825,5207,2018,38.8
E05000826,3987,3077,77.2
E05000827,4106,3341,81.4
E05000828,4604,3714,80.7
E05000829,5065,2992,59.1
E05000830,3819,3130,82
E05000831,4177,3260,78
E05000832,5149,2951,57.3
E05000833,5027,3084,61.3
E05000834,4814,3124,64.9
E05000835,4397,2989,68
E05000836,4669,2919,62.5
E05000837,4384,3975,90.7
E05000838,4909,3465,70.6
E05000839,4322,2887,66.8
E05000840,6560,3931,59.9
E05000841,4968,3914,78.8
E05000842,5548,4119,74.2
E05000843,5515,4353,78.9
E05000844,5415,3445,63.6
E05000845,6896,3944,57.2
E05000846,4987,3411,68.4
E05000847,5837,2956,50.6
E05000848,5356,3446,64.3
E05000849,5862,3478,59.3
E05000850,4834,3953,81.8
E05000851,5763,2442,42.4
E05000852,5813,3562,61.3
E05000853,6402,4129,64.5
E05000854,7325,3908,53.4
E05000855,5900,4763,80.7
E05000856,5308,4336,81.7
E05000857,6032,2978,49.4
E05000858,5086,4283,84.2
E05000859,5965,4822,80.8
E05000860,6195,4076,65.8
E05000861,5725,3353,58.6
E05000862,5977,3657,61.2
E05000863,4615,4263,92.4
E05000864,5222,3456,66.2
E05010935,4620,2626,56.8
E05010936,4407,3109,70.5
E05010937,4475,2775,62
E05010938,5043,1988,39.4
E05010939,5000,2422,48.4
E05010940,4893,2913,59.5
E05010941,4238,2692,63.5
E05010942,3918,3379,86.2
E05010943,4545,2769,60.9
E05010944,4145,2494,60.2
E05010945,4002,2061,51.5
E05010946,4698,1844,39.3
E05010947,3866,3211,83.1
E05010948,3925,2585,65.9
E05010949,4300,2417,56.2
E05000886,6436,4953,77
E05000887,6484,2582,39.8
E05000888,6873,3319,48.3
E05000889,7203,1253,17.4
E05000890,5170,4329,83.7
E05000891,5666,4603,81.2
E05000892,6648,3125,47
E05000893,6351,2495,39.3
E05000894,6420,4470,69.6
E05000895,5990,3512,58.6
E05000896,7821,1964,25.1
E05000897,6851,4181,61
E05000898,5659,2085,36.8
E05000899,7114,1831,25.7
E05000900,8603,2373,27.6
E05000901,6150,3575,58.1
E05000902,5298,3973,75
E05000903,7879,3084,39.1
E05000904,7095,3591,50.6
E05000905,7434,1934,26
E05000906,8243,1199,14.5
E05000907,11423,2531,22.2
E05000908,6281,2909,46.3
E05000909,9347,3625,38.8
E05000910,7036,3092,43.9
E05000911,6531,3869,59.2
E05000912,6303,3801,60.3
E05000913,5963,4467,74.9
E05000914,6150,4554,74
E05000915,7070,3760,53.2
E05014120,4606,3833,83.2
E05014121,4554,3194,70.1
E05014122,4962,3158,63.6
E05014123,4492,3819,85
E05014124,4825,3261,67.6
E05014125,4844,3264,67.4
E05014126,5437,3526,64.9
E05014127,5734,3167,55.2
E05014128,5463,2141,39.2
E05014129,1497,530,35.4
E05014130,3504,2928,83.6
E05014131,4962,4012,80.9
E05014132,4082,1438,35.2
E05014133,3127,2155,68.9
E05014134,2962,1878,63.4
E05014135,5719,3155,55.2
E05014136,5470,3349,61.2
E05014137,4772,3239,67.9
E05000932,5514,4317,78.3
E05000933,5444,4153,76.3
E05000934,4990,3967,79.5
E05000935,6379,3814,59.8
E05000936,5745,2885,50.2
E05000937,5712,2526,44.2
E05000938,7276,3589,49.3
E05000939,5592,3003,53.7
E05000940,4843,4339,89.6
E05000941,5852,3754,64.1
E05000942,6462,1761,27.3
E05000943,5407,2983,55.2
E05000944,5379,3973,73.9
E05000945,5291,4472,84.5
E05000946,5151,4318,83.8
E05000947,5320,3354,63
E05000948,6086,4244,69.7
E05000949,5093,4429,87
E05000950,5273,4387,83.2
E05000951,5103,2664,52.2
E05000952,5632,4672,83
E05000953,5524,4386,79.4
E05000954,6536,4847,74.2
E05000955,7061,2523,35.7
E05000956,8059,2441,30.3
E05000957,7403,4572,61.8
E05000958,5876,5075,86.4
E05000959,6474,4200,64.9
E05000960,6019,4758,79
E05000961,6188,5431,87.8
E05000962,5827,5097,87.5
E05000963,5725,4509,78.8
E05000964,6543,3799,58.1
E05000965,6989,4089,58.5
E05000966,6239,4800,76.9
E05000967,6913,4272,61.8
E05000968,6667,4518,67.8
E05000969,5842,4692,80.3
E05000970,6246,4548,72.8
E05000971,6899,2594,37.6
E05000972,6700,2738,40.9
E05000973,7251,4191,57.8
E05000974,6293,4989,79.3
E05000975,5506,4432,80.5
E05011525,6137,2895,47.2
E05011526,6739,3427,50.9
E05011527,5287,3532,66.8
E05011528,3600,2520,70
E05011529,5043,1083,21.5
E05011530,5642,3371,59.7
E05011531,5896,2724,46.2
E05011532,5126,3892,75.9
E05011533,4042,2301,56.9
E05011534,3834,3058,79.8
E05011535,5406,2561,47.4
E05011536,5681,1712,30.1
E05011537,7212,3090,42.8
E05011538,5785,2508,43.4
E05011539,6461,1989,30.8
E05011540,3931,2073,52.7
E05011541,8263,1604,19.4
E05011542,6170,3114,50.5
E05011543,5923,3643,61.5
E05011544,3909,1524,39
E05011545,5380,3120,58
E05001687,5918,4856,82.1
E05001688,5037,2887,57.3
E05001689,6632,5170,78
E05001690,6683,3336,49.9
E05001691,3710,2983,80.4
E05001692,4330,3142,72.6
E05001693,7409,6020,81.3
E05001694,7160,5136,71.7
E05001695,6463,4913,76
E05001696,4815,3135,65.1
E05001697,4667,2230,47.8
E05001698,6795,4850,71.4
E05001699,2440,1835,75.2
E05001700,6485,5143,79.3
E05001701,6047,4877,80.7
E05001702,7652,4932,64.5
E05001703,4701,3405,72.4
E05001704,8308,6310,76
E05001705,7450,5591,75
E05001706,4274,3353,78.5
E05001707,6564,4495,68.5
E05001708,4485,3768,84
E05001709,6384,4883,76.5
E05001710,4597,3453,75.1
E05001711,5902,5173,87.6
E05001712,7169,5322,74.2
E05001713,5476,2992,54.6
E05001714,4971,1444,29
E05001715,4142,2866,69.2
E05001716,4426,3690,83.4
E05001717,4943,2924,59.2
E05001718,5282,4514,85.5
E05001719,5035,3398,67.5
E05001720,5151,3456,67.1
E05001721,5006,4050,80.9
E05001722,5202,2818,54.2
E05001723,5140,2396,46.6
E05001724,3076,2517,81.8
E05001725,3652,1435,39.3
E05001726,3201,2661,83.1
E05001727,5127,3424,66.8
E05001728,5750,3528,61.4
E05001729,3256,2521,77.4
E05001730,3567,2568,72
E05001731,3032,2498,82.4
E05001732,5365,3716,69.3
E05001733,4955,4272,86.2
E05001734,5120,3540,69.1
E05001735,2866,2169,75.7
E05001736,4853,2383,49.1
E05001737,1884,1281,68
E05001738,4889,3709,75.9
E05001739,5322,2824,53.1
E05001740,4934,3640,73.8
E05001741,3542,1784,50.4
E05001742,4682,3050,65.1
E05001743,5587,4341,77.7
E05001744,3574,1574,44
E05010311,3801,2807,73.8
E05010312,1817,1559,85.8
E05010313,4113,2056,50
E05010314,1762,1532,86.9
E05010315,5115,3980,77.8
E05010316,3623,1748,48.2
E05010317,1636,1098,67.1
E05010318,6355,2077,32.7
E05010319,5255,4539,86.4
E05010320,5717,3113,54.5
E05010321,1826,1635,89.5
E05010322,5664,3441,60.8
E05010323,3582,1697,47.4
E05010324,5622,3797,67.5
E05010325,6239,3320,53.2
E05010326,3529,2750,77.9
E05010327,5356,4286,80
E05010328,3248,2685,82.7
E05010329,3341,2642,79.1
E05010330,6198,3467,55.9
E05010331,1652,1402,84.9
E05014250,2728,2236,82
E05014256,3452,2550,73.9
E05014277,3546,2574,72.6
E05014294,2402,1786,74.4
E05014316,2692,1902,70.7
E05014319,3446,2199,63.8
E05014320,2626,2001,76.2
E05014321,2918,1813,62.1
E05014335,2264,1601,70.7
E05014251,2423,1534,63.3
E05014255,2854,1883,66
E05014270,3178,2138,67.3
E05014276,2631,1869,71
E05014282,2915,2156,74
E05014283,2846,2181,76.6
E05014285,2679,2096,78.2
E05014295,2799,2214,79.1
E05014298,3135,1980,63.2
E05014299,3071,1631,53.1
E05014310,2732,2187,80.1
E05014322,3316,2187,66
E05014325,2951,2163,73.3
