mnemonic,percent_1parent
E05005214,9.5
E05005215,8.1
E05005216,7.4
E05005217,14.1
E05005218,8.5
E05005219,9.1
E05005220,5.7
E05005221,12.4
E05009592,3.8
E05009593,3.1
E05009594,6.9
E05009595,6.7
E05009596,2.3
E05009597,3.6
E05009598,3.7
E05009599,8.5
E05009600,5
E05009601,9.8
E05009602,8.6
E05009603,4.5
E05009604,3.3
E05009605,3.7
E05009606,7.5
E05009607,5.3
E05009608,10.4
E05009609,4.9
E05009610,5.1
E05009611,2.1
E05009612,10.6
E05009613,9.9
E05009614,3.9
E05009615,3.3
E05009616,2.9
E05009617,2.7
E05009618,10.6
E05013200,6.8
E05013201,4.5
E05013202,4.9
E05013203,8.6
E05013204,4.9
E05013205,6.3
E05013206,5.7
E05013207,3.6
E05013208,9.4
E05013209,9.7
E05013210,9.2
E05013211,7.6
E05012193,7.2
E05012194,11.7
E05012195,6.5
E05012196,5.3
E05012197,9.2
E05012198,10.5
E05012199,5.3
E05012200,4
E05012201,9
E05012202,9.9
E05012203,9.4
E05012204,5.1
E05012205,4.1
E05012206,12.8
E05012207,12.8
E05012208,4.7
E05012000,5.6
E05012001,5.1
E05012002,3.1
E05012003,2.8
E05012004,4.8
E05012005,2.6
E05012006,2.7
E05012007,6.6
E05012008,4.3
E05012009,3.4
E05012010,5.4
E05012011,3.2
E05012012,2.2
E05012013,6.3
E05012014,3.2
E05012015,6.3
E05012016,4.2
E05012017,5.2
E05012018,4.7
E05012019,6.8
E05012020,2.6
E05012021,2.6
E05012022,3.6
E05012023,4.9
E05012024,4
E05012025,5.3
E05005316,5.8
E05005317,5.1
E05005318,7
E05005319,4.8
E05005320,6.7
E05005321,9.1
E05005322,5.9
E05005323,8
E05005324,6.2
E05005325,9.5
E05005326,6.9
E05005327,9.1
E05005328,7.3
E05005329,8.8
E05010214,7.1
E05010215,8.6
E05010216,4.5
E05010217,9.2
E05010218,6.3
E05010219,7.4
E05010220,4.8
E05010221,7
E05010222,5.8
E05010223,4.9
E05010224,5.3
E05010225,4.3
E05010226,7.7
E05010227,3.9
E05010228,6.4
E05010229,8.4
E05010230,6.8
E05010231,4.2
E05010232,7.6
E05010233,5.9
E05010234,11.3
E05010235,6.3
E05010236,4.7
E05005357,7.2
E05005358,3.4
E05005359,3.4
E05005360,13.6
E05005361,5.4
E05005362,6
E05005363,4.7
E05005364,13.6
E05005365,4.7
E05005366,5.4
E05005367,3.9
E05005368,12.3
E05005369,5
E05005370,3.1
E05005371,2.7
E05005372,4
E05005373,6.4
E05005374,9.5
E05005375,9.4
E05005376,12.5
E05005377,3.8
E05005378,6.4
E05005379,2.8
E05005380,3.8
E05005381,2.4
E05009932,8.5
E05009933,7.2
E05009934,5.3
E05009935,5.3
E05009936,5
E05009937,4.4
E05009938,2.9
E05009939,3.8
E05009940,4.3
E05009941,4.8
E05009942,5.7
E05009943,4.8
E05009944,9.9
E05009945,11.7
E05009946,8.6
E05009947,5.8
E05009948,4.8
E05009949,4.7
E05009950,8.7
E05009951,4.5
E05009952,6
E05009953,5
E05009954,8.6
E05009955,3
E05000650,7.1
E05000651,5.7
E05000652,11.7
E05000653,5.1
E05000654,9.1
E05000655,12
E05000656,8.4
E05000657,8.4
E05000658,9.5
E05000659,4
E05000660,7
E05000661,6.4
E05000662,7.6
E05000663,8
E05000664,7.6
E05000665,8.3
E05000666,8.4
E05000667,11.3
E05000668,5.9
E05000669,7.2
E05014152,11.3
E05014153,9.9
E05014154,5.4
E05014155,8.6
E05014156,5.8
E05014157,9.6
E05014158,3.7
E05014159,4.3
E05014160,11.6
E05014161,7.1
E05014162,11.3
E05014163,6.6
E05014164,8.3
E05014165,5.2
E05014166,5.6
E05014167,5.9
E05014168,6
E05011350,4.7
E05011351,9.1
E05011352,12.3
E05011353,10.9
E05011354,10.6
E05011355,13.3
E05011356,8.6
E05011357,3.5
E05011358,7.4
E05011359,15.6
E05011360,7
E05011361,0.7
E05011362,3.4
E05011363,2.2
E05011364,8
E05011365,15.6
E05011366,15.8
E05011367,13.1
E05011368,5.8
E05011369,8
E05011370,11.7
E05011371,14.3
E05011372,12.3
E05011373,14.1
E05011374,12.1
E05011375,7.6
E05011376,0.5
E05011377,4.6
E05011378,14.2
E05011379,7.1
E05011380,4.1
E05011381,14.5
E05000719,14.1
E05000720,8.2
E05000721,7.5
E05000722,9
E05000723,8.6
E05000724,5.9
E05000725,8.5
E05000726,9.7
E05000727,14.4
E05000728,12.9
E05000729,7.9
E05000730,7.4
E05000731,4.7
E05000732,3.8
E05000733,7.3
E05000734,14.6
E05000735,10.6
E05000736,8.6
E05000737,11
E05000738,10.7
E05014033,12.6
E05014034,5.8
E05014035,9.7
E05014036,9.8
E05014037,10.8
E05014038,7
E05014039,10
E05014040,11.9
E05014041,6.8
E05014042,9.8
E05014043,7.7
E05014044,4.4
E05014045,12.4
E05014046,10.8
E05014047,12.8
E05014048,7
E05014049,10.5
E05014050,6.8
E05014051,12.6
E05014052,13.2
E05013018,10.5
E05013019,3.3
E05013020,5
E05013021,9.5
E05013022,8.7
E05013023,6.7
E05013024,5
E05013025,11.9
E05013026,5.7
E05013027,17.5
E05013028,7.3
E05013029,11.6
E05013030,11.3
E05013031,1.6
E05013032,9
E05013033,8.6
E05013034,11
E05013035,6.4
E05013036,10.1
E05013037,7
E05000779,4.1
E05000780,3.1
E05000781,5.4
E05000782,8.1
E05000783,13.1
E05000784,4.3
E05000785,5.6
E05000786,5
E05000787,11.4
E05000788,9.1
E05000789,5.3
E05000790,4.3
E05000791,4.4
E05000792,4.6
E05000793,10.2
E05000794,4.6
E05000795,4.2
E05000796,8.3
E05000797,10.8
E05000798,7.1
E05000799,5
E05000800,10.8
E05000801,11.3
E05000802,8.9
E05000803,8.1
E05000804,8
E05000805,10.3
E05000806,5.7
E05000807,8.3
E05000808,9.3
E05000809,10.4
E05000810,7
E05000811,10.2
E05000812,9.3
E05000813,6.8
E05000814,10.8
E05000815,8.4
E05000816,10
E05000817,10.7
E05000818,7.4
E05000819,5.6
E05000820,5.1
E05000821,4.5
E05000822,6.4
E05000823,4
E05000824,14.1
E05000825,8.3
E05000826,6
E05000827,6.1
E05000828,4.7
E05000829,10.9
E05000830,3.9
E05000831,4.6
E05000832,6.6
E05000833,5.1
E05000834,8.5
E05000835,8.2
E05000836,7.9
E05000837,3.4
E05000838,5.2
E05000839,8.1
E05000840,9.1
E05000841,6.3
E05000842,6.1
E05000843,5.8
E05000844,7.6
E05000845,9.5
E05000846,7.5
E05000847,10
E05000848,7.3
E05000849,8.5
E05000850,5.2
E05000851,10.1
E05000852,7.9
E05000853,7.2
E05000854,9.6
E05000855,5.9
E05000856,5.4
E05000857,10
E05000858,4.7
E05000859,4.7
E05000860,7.6
E05000861,5
E05000862,7.8
E05000863,4.1
E05000864,7.7
E05010935,13.2
E05010936,6.9
E05010937,10.2
E05010938,16.4
E05010939,15.4
E05010940,7
E05010941,9.4
E05010942,4.7
E05010943,13.8
E05010944,11.6
E05010945,11.7
E05010946,15.2
E05010947,5.9
E05010948,10.1
E05010949,11.7
E05000886,5.5
E05000887,13.6
E05000888,10.9
E05000889,2.8
E05000890,4.9
E05000891,4.1
E05000892,13.4
E05000893,14.1
E05000894,6.2
E05000895,10.3
E05000896,11.7
E05000897,10.8
E05000898,4
E05000899,9
E05000900,10.5
E05000901,9.4
E05000902,3.7
E05000903,17.3
E05000904,10.5
E05000905,9.3
E05000906,8.8
E05000907,6.3
E05000908,4.2
E05000909,15.3
E05000910,10.6
E05000911,10.2
E05000912,7.1
E05000913,6.2
E05000914,3.4
E05000915,12.3
E05014120,4.8
E05014121,8
E05014122,9.2
E05014123,4.1
E05014124,6.8
E05014125,7.5
E05014126,8.2
E05014127,8.9
E05014128,13.2
E05014129,14.3
E05014130,3.5
E05014131,5.3
E05014132,9.4
E05014133,8.7
E05014134,7.2
E05014135,9.7
E05014136,8.7
E05014137,8.2
E05000932,5.2
E05000933,7.2
E05000934,3.8
E05000935,4.2
E05000936,6.3
E05000937,10.8
E05000938,3.9
E05000939,11.4
E05000940,3
E05000941,8.8
E05000942,13.1
E05000943,11.3
E05000944,5.5
E05000945,5.3
E05000946,5.9
E05000947,10.4
E05000948,8.5
E05000949,3.4
E05000950,4.4
E05000951,11.5
E05000952,5.4
E05000953,5.6
E05000954,6.8
E05000955,17.7
E05000956,13.7
E05000957,9.2
E05000958,3.9
E05000959,7.6
E05000960,5.9
E05000961,3.8
E05000962,3.5
E05000963,3.7
E05000964,11
E05000965,10.4
E05000966,6.6
E05000967,6.1
E05000968,5.5
E05000969,5.3
E05000970,7.9
E05000971,15
E05000972,15.5
