mnemonic,unemployed
E05001118,5.2
E05001119,3.5
E05001120,2.3
E05001121,4.9
E05001122,2.7
E05001123,3.3
E05001124,1.9
E05001125,2.8
E05001126,3.2
E05001127,2.5
E05001128,5.5
E05001129,1.5
E05001130,2.4
E05001131,3.2
E05001132,4.8
E05001133,2.5
E05001134,2.6
E05001135,5.7
E05001136,4.8
E05001137,7
E05001138,3.6
E05001139,2.2
E05001140,4.8
E05001141,4.1
E05001142,4.4
E05001143,4.4
E05001144,2.9
E05001145,3.5
E05001146,3.7
E05001147,4.9
E05001148,6.4
E05001149,3.6
E05001150,4.9
E05001151,3.3
E05001152,4.2
E05001153,3.7
E05001154,3.7
E05001155,3.3
E05001156,2.5
E05001157,1.8
E05001158,7.3
E05001159,3.5
E05001160,3
E05001161,6.2
E05001162,4.9
E05001163,4.5
E05001164,3.7
E05001165,4.6
E05001166,3.1
E05001167,3.9
E05001168,3.5
E05001169,4.5
E05001170,3.6
E05001171,3.4
E05001172,5
E05001173,2.9
E05001174,3.1
E05001175,5.3
E05001176,3.2
E05001177,3.2
E05001067,3
E05001068,3.7
E05001069,6.1
E05001071,4.1
E05001072,2.8
E05001073,5.1
E05001074,4.7
E05001075,2.7
E05001076,5.7
E05001077,4.4
E05001078,2.9
E05001079,4.1
E05001080,2.1
E05001081,3.3
E05001082,3.3
E05001083,4.5
E05001084,2.8
E05001085,3.5
E05001086,2.4
E05001087,3.6
E05001088,2.7
E05009313,3.5
E05013169,3.5
E05013170,3.5
E05013171,2
E05013172,2.2
E05013173,3.6
E05013174,4.9
E05013175,2.2
E05013176,3.3
E05013177,1.9
E05013178,3.8
E05013179,4.3
E05013180,4.2
E05013181,2.6
E05013182,2.2
E05013183,3.4
E05013184,3.5
E05013185,3
E05013186,4.1
E05011024,1.8
E05011025,4.1
E05011026,3.2
E05011027,2.3
E05011028,2.6
E05011029,2.5
E05011030,4.1
E05011031,2.6
E05011032,2.1
E05011033,2.7
E05011034,3.7
E05011035,2.8
E05011036,1.9
E05011037,2
E05011038,3.5
E05011039,2
E05011040,4.1
E05011041,3.2
E05011042,2.2
E05011043,2
E05011044,1.9
E05011045,1.8
E05011508,4.7
E05011509,5.5
E05011510,2.8
E05011511,6
E05011512,2.2
E05011513,4.5
E05011514,4.5
E05011515,2.7
E05011516,2.9
E05011517,3.8
E05011518,4.3
E05011519,1.9
E05011520,3.7
E05011521,3.7
E05011522,3.8
E05011523,4.8
E05011524,2.1
E05001643,2.9
E05001644,3.3
E05001645,6.8
E05001646,5.8
E05001647,7.4
E05001648,3.8
E05001649,3.1
E05001650,4.4
E05001651,3.4
E05001652,3.8
E05001653,3.9
E05001654,3
E05001655,1.9
E05001656,4.8
E05001657,3
E05001658,2.6
E05001659,6.6
E05001660,4.1
E05001661,4.7
E05001662,4.4
E05001663,5.4
E05008610,2
E05008611,2
E05008612,1.6
E05008613,1.8
E05008614,1.7
E05008615,2.1
E05008616,2.5
E05008617,1.5
E05008618,2.3
E05008619,2
E05008620,5.5
E05008621,3.5
E05008622,3.2
E05008623,4.1
E05008624,3.9
E05008625,3.3
E05008626,1.6
E05008627,2.1
E05008628,1.9
E05008629,3
E05008630,1.7
E05008631,1.2
E05008632,2.3
E05008633,2.5
E05008634,3.8
E05008635,2.8
E05008636,3.7
E05008637,3.1
E05008638,2.5
E05008639,2.7
E05008640,2.4
E05008641,1.4
E05008642,2.4
E05008643,2.2
E05008644,1.6
E05008645,1.8
E05008646,1.7
E05008647,1.6
E05008648,1.8
E05008649,1.9
E05008650,2.3
E05008651,1.9
E05008652,1.7
E05008653,1.1
E05008654,1.9
E05008655,2.5
E05008656,1.8
E05008657,3.2
E05008658,2.1
E05008659,1.7
E05008660,1.9
E05008661,1.9
E05012209,4.2
E05012210,4.3
E05012211,5.2
E05012212,1.9
E05012213,2.3
E05012214,1.6
E05012215,2
E05012216,1.9
E05012217,2.6
E05012218,2.8
E05012219,2.5
E05012220,2.1
E05012221,4
E05012222,2.1
E05012223,1.3
E05012224,2.4
E05012225,2.1
E05012226,3.5
E05012227,2.9
E05012228,2.8
E05012229,2.8
E05012230,2.4
E05012231,3
E05012232,2.1
E05012233,2.5
E05012234,2
E05012235,1.8
E05012236,2
E05012237,2
E05012238,3.2
E05012239,2.3
E05012240,1.8
E05012241,1.9
E05012242,2.5
E05012243,2.2
E05012244,3.9
E05012245,2
E05012246,2.1
E05012247,1.7
E05012248,2
E05012249,2
E05012250,3.2
E05012251,3.2
E05012252,3.6
E05012253,4.1
E05014171,2.1
E05014175,1.4
E05014181,1.9
E05014182,1.7
E05014186,1.3
E05014193,2.7
E05014198,1.7
E05014200,2.5
E05014201,2.8
E05014206,3.3
E05014207,1.8
E05014208,3.1
E05014209,2.6
E05014210,1.9
E05014212,1.8
E05014215,2.2
E05014222,2.2
E05014223,2.5
E05014228,1.6
E05014240,4.5
E05014241,3
E05014244,2.5
E05014248,2.1
E05014172,2
E05014173,2.7
E05014174,2.9
E05014176,2.6
E05014178,4.1
E05014183,1.6
E05014184,3.7
E05014185,1.4
E05014187,3.7
E05014191,3.1
E05014192,2.2
E05014195,1.2
E05014199,2.4
E05014205,3.1
E05014211,2.1
E05014213,3.6
E05014214,1.4
E05014216,2
E05014177,2.5
E05014179,2.4
E05014180,2.5
E05014188,2.8
E05014189,2.6
E05014190,1.9
E05014194,1.6
E05014196,2.9
E05014197,3.1
E05014202,3.1
E05014203,1.2
E05014204,2.9
E05014217,1.5
E05014218,2.1
E05014224,1.6
E05014225,1.9
E05014227,1.6
E05014229,1.2
E05014237,1.5
E05014242,2
E05014243,2.5
E05014219,1.4
E05014220,1.6
E05014221,1
E05014226,1.6
E05014230,1.6
E05014231,1.3
E05014232,2.2
E05014233,1.7
E05014234,1.4
E05014235,2.1
E05014236,1.2
E05014238,0.8
E05014239,1.7
E05014245,1.6
E05014246,2.1
E05014247,2.1
E05014249,1.9
E05005150,5.4
E05005151,2.7
E05005152,3.5
E05005153,1.9
E05005154,2.3
E05005155,5.9
E05005156,3.4
E05005157,3.9
E05005158,3
E05005159,3.1
E05005160,4.4
E05005161,3
E05005162,3.6
E05005163,4.8
E05005164,2
E05013064,2.3
E05013065,2.4
E05013066,2.9
E05013067,2.1
E05013068,2.5
E05013069,2.7
E05013070,2.3
E05013071,2.9
E05013072,2.7
E05013073,1.8
E05013074,2.3
E05013075,2.6
E05013076,1.1
E05013077,2.2
E05005185,1.6
E05005186,3.2
E05005187,3.8
E05005188,2.2
E05005189,1.6
E05005190,2.1
E05005191,2.5
E05005192,2.1
E05005193,2.6
E05005194,3
E05005195,1.8
E05005196,3.7
E05005197,2.3
E05005198,1.5
E05005199,1.5
E05005200,1
