mnemonic,percent_crowded
E05012209,4.8
E05012210,3.8
E05012211,5.5
E05012212,1.7
E05012213,1.5
E05012214,1.1
E05012215,1.8
E05012216,2.2
E05012217,1.7
E05012218,1.3
E05012219,2
E05012220,1.5
E05012221,5.3
E05012222,0.8
E05012223,1.4
E05012224,1.7
E05012225,1.7
E05012226,2.6
E05012227,1.6
E05012228,2.6
E05012229,4.4
E05012230,2.1
E05012231,5
E05012232,1.4
E05012233,4.1
E05012234,1.6
E05012235,2
E05012236,2
E05012237,0.9
E05012238,3.1
E05012239,1.7
E05012240,1.1
E05012241,1.4
E05012242,2.2
E05012243,2.6
E05012244,3.3
E05012245,0.9
E05012246,1.4
E05012247,1.7
E05012248,3.5
E05012249,2.7
E05012250,4.1
E05012251,4.2
E05012252,5.4
E05012253,4.6
E05014171,2.1
E05014175,1.1
E05014181,1.8
E05014182,1.3
E05014186,2
E05014193,2.8
E05014198,2.5
E05014200,2.3
E05014201,3.3
E05014206,3.4
E05014207,1.1
E05014208,1.8
E05014209,2.5
E05014210,1.4
E05014212,1.1
E05014215,2
E05014222,2.4
E05014223,2.4
E05014228,1.7
E05014240,3.3
E05014241,2.8
E05014244,3.1
E05014248,2.3
E05014172,1.4
E05014173,2.9
E05014174,2.7
E05014176,1.9
E05014178,2.8
E05014183,1.7
E05014184,3.3
E05014185,1.3
E05014187,1.9
E05014191,3.4
E05014192,2.3
E05014195,1.3
E05014199,2.5
E05014205,2.5
E05014211,1.1
E05014213,2.7
E05014214,0.9
E05014216,2.2
E05014177,1.8
E05014179,1.7
E05014180,2.1
E05014188,2.3
E05014189,2.1
E05014190,1.1
E05014194,1.5
E05014196,2.1
E05014197,3
E05014202,2.8
E05014203,1.5
E05014204,2.7
E05014217,1.8
E05014218,2.1
E05014224,1.8
E05014225,1.4
E05014227,2
E05014229,1.3
E05014237,2.3
E05014242,3.1
E05014243,3
E05014219,3.2
E05014220,2.1
E05014221,0.8
E05014226,1.5
E05014230,1.4
E05014231,1.3
E05014232,4.6
E05014233,2.8
E05014234,1.5
E05014235,3.6
E05014236,1.6
E05014238,1.8
E05014239,1.5
E05014245,1.3
E05014246,1.5
E05014247,1.9
E05014249,3.9
E05005150,15.7
E05005151,3.1
E05005152,4.8
E05005153,2.5
E05005154,2.8
E05005155,23.4
E05005156,5.2
E05005157,6.2
E05005158,3.5
E05005159,8.6
E05005160,12.7
E05005161,4.7
E05005162,4.9
E05005163,6.4
E05005164,2.4
E05013064,2.7
E05013065,1.9
E05013066,5
E05013067,1.8
E05013068,2.6
E05013069,2.7
E05013070,2.5
E05013071,3.5
E05013072,3.1
E05013073,1.8
E05013074,2.4
E05013075,2.4
E05013076,1.5
E05013077,1.4
E05005185,1.3
E05005186,4.2
E05005187,5.2
E05005188,1.5
E05005189,1.1
E05005190,3.8
E05005191,2.5
E05005192,2.4
E05005193,2
E05005194,2.9
E05005195,1.6
E05005196,4.3
E05005197,3.6
E05005198,1.9
E05005199,2.7
E05005200,0.5
E05005201,2.2
E05005202,1.6
E05005203,0.9
E05005204,2.2
E05005205,2.3
E05005206,6.4
E05005207,7.4
E05005208,2.4
E05005209,23
E05005210,9.8
E05005211,4.7
E05005212,3.6
E05005213,5.7
E05005214,6.2
E05005215,8
E05005216,5.8
E05005217,7.6
E05005218,5.1
E05005219,5
E05005220,4
E05005221,12.9
E05009592,1.6
E05009593,2.1
E05009594,5.6
E05009595,2.2
E05009596,11.3
E05009597,2.7
E05009598,2.1
E05009599,5.7
E05009600,3
E05009601,3.7
E05009602,2.3
E05009603,5.2
E05009604,1.4
E05009605,1.7
E05009606,2.8
E05009607,3.4
E05009608,4.1
E05009609,2.5
E05009610,4.4
E05009611,1.7
E05009612,4.8
E05009613,5.7
E05009614,1.3
E05009615,1.2
E05009616,1.1
E05009617,1.7
E05009618,4.1
E05013200,4.5
E05013201,2.9
E05013202,2.6
E05013203,18.2
E05013204,10.8
E05013205,11.9
E05013206,3.5
E05013207,2.1
E05013208,12.9
E05013209,6.2
E05013210,5.7
E05013211,22.1
E05012193,3.5
E05012194,4.7
E05012195,2.4
E05012196,11.5
E05012197,13.6
E05012198,10.8
E05012199,3.2
E05012200,3.7
E05012201,3.7
E05012202,3.5
E05012203,8.4
E05012204,1.7
E05012205,1.4
E05012206,7
E05012207,12.5
E05012208,5.1
E05012000,2.4
E05012001,1.9
E05012002,1.3
E05012003,1.8
E05012004,4.1
E05012005,1.1
E05012006,2.4
E05012007,7.4
E05012008,2.1
E05012009,2.5
E05012010,3.2
E05012011,2.4
E05012012,2.6
E05012013,5.1
E05012014,2.1
E05012015,4.2
E05012016,4.1
E05012017,4
E05012018,2
E05012019,4.6
E05012020,1.3
E05012021,1.8
E05012022,1.5
E05012023,0.9
E05012024,2.5
E05012025,2
E05005316,5.6
E05005317,3
E05005318,3.4
E05005319,4.3
E05005320,6
E05005321,4.4
E05005322,6
E05005323,5
E05005324,4.3
E05005325,5.2
E05005326,4.7
E05005327,5.7
E05005328,4.9
E05005329,9.5
E05010214,3.2
E05010215,4.8
E05010216,1.9
E05010217,3.5
E05010218,1.3
E05010219,3
E05010220,1.7
E05010221,2.2
E05010222,1.6
E05010223,1.2
E05010224,2.2
E05010225,1.6
E05010226,2
E05010227,1.4
E05010228,2.3
E05010229,3.8
E05010230,1.7
E05010231,2.3
E05010232,2.6
E05010233,2.5
E05010234,4
E05010235,2.1
E05010236,2.2
E05005357,2.6
E05005358,1
E05005359,1.6
E05005360,4.3
E05005361,2.8
E05005362,3.4
E05005363,4.2
E05005364,3.4
E05005365,1.9
E05005366,2
E05005367,3.4
E05005368,2.3
E05005369,2.4
E05005370,0.9
E05005371,1.9
E05005372,2
E05005373,5.5
E05005374,3
E05005375,3.9
E05005376,6.4
E05005377,2.1
E05005378,2.2
E05005379,1.4
E05005380,2
E05005381,1.7
E05009932,3.2
E05009933,1.6
E05009934,1.8
E05009935,0.9
E05009936,1.3
E05009937,1.7
E05009938,1.3
E05009939,1.7
E05009940,2.8
E05009941,1.5
E05009942,2.7
E05009943,1.7
E05009944,1.9
E05009945,4.1
E05009946,4.2
E05009947,1.9
E05009948,3.3
E05009949,2.6
E05009950,3
E05009951,1.1
E05009952,2.5
E05009953,1.6
E05009954,2.3
E05009955,2.1
E05000650,4.7
E05000651,3.4
E05000652,7.7
E05000653,2.7
E05000654,12.5
E05000655,9.5
E05000656,20.3
E05000657,16.3
E05000658,12.7
E05000659,3.2
E05000660,3.5
E05000661,2.9
E05000662,7.7
E05000663,5.8
E05000664,5.1
E05000665,21.8
E05000666,6.3
E05000667,8.3
E05000668,3
E05000669,4
E05014152,4.9
E05014153,14.9
E05014154,3.8
E05014155,5.9
E05014156,5
E05014157,9.1
E05014158,1.8
E05014159,1.9
E05014160,6.8
E05014161,4.5
E05014162,7.2
E05014163,3.9
E05014164,10.2
E05014165,6.7
E05014166,4.2
E05014167,3.1
E05014168,3.1
E05011350,5.4
E05011351,15.9
E05011352,6.8
E05011353,5.4
E05011354,8.5
E05011355,8
E05011356,17
E05011357,5.5
E05011358,6.2
E05011359,11.3
E05011360,16.7
E05011361,5.9
E05011362,3.1
E05011363,7.6
E05011364,15.2
E05011365,9.9
E05011366,10.9
E05011367,8.5
E05011368,8.2
E05011369,14.5
E05011370,17.4
E05011371,9.6
E05011372,17.4
E05011373,7.7
E05011374,6.7
E05011375,13.8
E05011376,7
E05011377,18
E05011378,5.9
E05011379,11.7
E05011380,14.7
E05011381,7.4
E05000719,18.1
E05000720,6.2
E05000721,9.4
E05000722,7.8
E05000723,25
E05000724,4.1
E05000725,5.2
E05000726,6
E05000727,9.1
E05000728,16
E05000729,4
E05000730,4
E05000731,3
E05000732,2.5
E05000733,3.8
E05000734,8.1
E05000735,27.8
E05000736,5.6
E05000737,11.8
E05000738,22.6
E05014033,9.8
E05014034,4
E05014035,6.4
E05014036,20.9
E05014037,6.3
