mnemonic,percent_fuel
E05010216,1.5
E05010217,1.6
E05010218,0.7
E05010219,2.3
E05010220,1.5
E05010221,1.4
E05010222,2.6
E05010223,2.2
E05010224,5.9
E05010225,0.9
E05010226,2
E05010227,4.1
E05010228,2
E05010229,1.8
E05010230,1.8
E05010231,2.3
E05010232,2.1
E05010233,8.3
E05010234,1.8
E05010235,1.5
E05010236,1.9
E05005357,1.4
E05005358,5.7
E05005359,2.2
E05005360,1.4
E05005361,1.9
E05005362,3.7
E05005363,2
E05005364,1.4
E05005365,13.3
E05005366,7
E05005367,1.7
E05005368,1.7
E05005369,5.4
E05005370,9.8
E05005371,8.8
E05005372,11.7
E05005373,1.5
E05005374,1.1
E05005375,2.1
E05005376,1.3
E05005377,8
E05005378,2.2
E05005379,7.4
E05005380,29.2
E05005381,15.1
E05009932,1.8
E05009933,1.3
E05009934,8.8
E05009935,10.8
E05009936,0.8
E05009937,1.4
E05009938,4.4
E05009939,16.9
E05009940,5.6
E05009941,1.6
E05009942,2
E05009943,1.4
E05009944,2.6
E05009945,1.5
E05009946,4.6
E05009947,1.9
E05009948,18.8
E05009949,3.6
E05009950,1.6
E05009951,1.6
E05009952,1.6
E05009953,1.6
E05009954,1.3
E05009955,23.4
E05000650,1.8
E05000651,1.7
E05000652,1.9
E05000653,1
E05000654,2.2
E05000655,2.2
E05000656,2.3
E05000657,2.9
E05000658,1.6
E05000659,1
E05000660,1.5
E05000661,1.3
E05000662,1.8
E05000663,1.5
E05000664,1.6
E05000665,2.1
E05000666,2
E05000667,2.2
E05000668,1.8
E05000669,1.2
E05014152,1.1
E05014153,2.4
E05014154,1.1
E05014155,1.2
E05014156,2
E05014157,1.8
E05014158,1
E05014159,1.1
E05014160,1.4
E05014161,1.7
E05014162,1.7
E05014163,1.9
E05014164,1.8
E05014165,1.1
E05014166,1.8
E05014167,1.4
E05014168,1.6
E05011350,3.9
E05011351,2.7
E05011352,1.3
E05011353,1.5
E05011354,1.5
E05011355,1.9
E05011356,3.3
E05011357,2
E05011358,1.6
E05011359,2.3
E05011360,2.3
E05011361,4.6
E05011362,1.4
E05011363,1.5
E05011364,1.6
E05011365,2.9
E05011366,2.5
E05011367,1.7
E05011368,3.5
E05011369,2.5
E05011370,2.7
E05011371,2
E05011372,3
E05011373,2.1
E05011374,1.3
E05011375,1.9
E05011376,6.4
E05011377,2.3
E05011378,1.9
E05011379,2.7
E05011380,1.8
E05011381,1.6
E05000719,1.8
E05000720,1.6
E05000721,1
E05000722,1.5
E05000723,1.7
E05000724,1
E05000725,1.2
E05000726,1.6
E05000727,1.4
E05000728,1.7
E05000729,0.7
E05000730,1.1
E05000731,3.6
E05000732,1.7
E05000733,1.2
E05000734,1.2
E05000735,1.8
E05000736,1.4
E05000737,1.6
E05000738,1.9
E05014033,1.3
E05014034,1.4
E05014035,1.2
E05014036,2.2
E05014037,1.6
E05014038,1.1
E05014039,1.6
E05014040,1.5
E05014041,1.7
E05014042,2.4
E05014043,2.2
E05014044,2.6
E05014045,2
E05014046,1.5
E05014047,1.4
E05014048,1.3
E05014049,1.5
E05014050,1.5
E05014051,1.3
E05014052,1.4
E05013018,1.9
E05013019,3.8
E05013020,0.8
E05013021,2.3
E05013022,1.8
E05013023,1.4
E05013024,1.6
E05013025,1.3
E05013026,2
E05013027,1.1
E05013028,2.5
E05013029,1.5
E05013030,2.5
E05013031,4
E05013032,1.6
E05013033,1.4
E05013034,1.4
E05013035,1.3
E05013036,2.1
E05013037,1.3
E05000779,0.9
E05000780,0.7
E05000781,1.2
E05000782,1.3
E05000783,3.3
E05000784,0.8
E05000785,1.3
E05000786,0.9
E05000787,1.5
E05000788,2.2
E05000789,1
E05000790,0.9
E05000791,1.6
E05000792,1.4
E05000793,2.1
E05000794,2.7
E05000795,1.8
E05000796,1
E05000797,2.4
E05000798,1.5
E05000799,1.1
E05000800,0.8
E05000801,2
E05000802,1.2
E05000803,1.6
E05000804,1.7
E05000805,1.1
E05000806,1.4
E05000807,2
E05000808,1.7
E05000809,1.9
E05000810,1.4
E05000811,1.7
E05000812,1.3
E05000813,2.2
E05000814,2.1
E05000815,2.1
E05000816,2.5
E05000817,1.6
E05000818,1.4
E05000819,1.1
E05000820,1.1
E05000821,2.1
E05000822,1.4
E05000823,1.1
E05000824,1.9
E05000825,2.3
E05000826,1.3
E05000827,0.8
E05000828,1
E05000829,1.7
E05000830,1
E05000831,0.7
E05000832,1.5
E05000833,2
E05000834,1.1
E05000835,1.3
E05000836,1.5
E05000837,0.8
E05000838,1.5
E05000839,1.1
E05000840,1.6
E05000841,1.2
E05000842,2.4
E05000843,1.3
E05000844,1.3
E05000845,1.8
E05000846,1.2
E05000847,1.4
E05000848,1.3
E05000849,1.5
E05000850,1.1
E05000851,1.5
